# C1_0     C2_0      C1_den    C2_den    dC1_den   dC2_den   C1_sol    C2_sol    dC1_sol   dC2_sol
9.727e-04 1.822e-03 1.479e-01 1.547e-01 0.000e+00 0.000e+00 3.666e-05 8.056e-04 0.000e+00 0.000e+00
7.100e-04 1.820e-03 1.464e-01 1.553e-01 3.107e-04 4.825e-04 5.435e-05 1.076e-03 2.713e-06 1.027e-05
2.811e-03 7.207e-03 1.328e-01 1.595e-01 0.000e+00 0.000e+00 1.368e-04 3.758e-03 0.000e+00 0.000e+00
2.712e-03 5.080e-03 1.404e-01 1.570e-01 0.000e+00 0.000e+00 5.795e-05 1.951e-03 0.000e+00 0.000e+00
2.760e-03 3.989e-03 1.502e-01 1.586e-01 6.045e-04 7.077e-04 5.239e-05 1.013e-03 3.207e-06 1.094e-05
2.746e-03 2.921e-03 1.596e-01 1.519e-01 0.000e+00 0.000e+00 2.599e-05 3.304e-04 0.000e+00 0.000e+00
2.730e-03 2.140e-03 1.701e-01 1.394e-01 8.083e-04 5.593e-04 1.209e-04 8.900e-05 5.943e-06 4.965e-06
2.755e-03 1.814e-03 1.743e-01 1.304e-01 0.000e+00 0.000e+00 3.107e-04 7.233e-05 0.000e+00 0.000e+00
2.743e-03 1.303e-03 1.832e-01 1.266e-01 0.000e+00 0.000e+00 8.358e-04 1.013e-04 0.000e+00 0.000e+00
3.474e-03 1.028e-03 1.876e-01 1.174e-01 0.000e+00 0.000e+00 1.884e-03 1.467e-04 0.000e+00 0.000e+00
2.782e-03 1.043e-03 1.824e-01 1.206e-01 0.000e+00 0.000e+00 1.268e-03 1.174e-04 0.000e+00 0.000e+00
2.782e-03 1.043e-03 1.824e-01 1.206e-01 0.000e+00 0.000e+00 1.268e-03 1.174e-04 0.000e+00 0.000e+00
2.712e-03 8.029e-04 1.872e-01 1.213e-01 0.000e+00 0.000e+00 1.555e-03 1.439e-04 0.000e+00 0.000e+00
2.141e-03 1.017e-03 1.800e-01 1.256e-01 0.000e+00 0.000e+00 6.729e-04 7.964e-05 0.000e+00 0.000e+00
