#C1_0     C2_0      C1_den    C2_den    dC1_den   dC2_den   C1_sol    C2_sol    dC1_sol   dC2_sol   
4.860e-03 5.335e-03 2.038e-01 1.847e-01 0.000e+00 0.000e+00 5.584e-06 7.352e-04 0.000e+00 0.000e+00 
8.694e-03 2.600e-03 3.081e-01 9.547e-02 6.568e-04 4.234e-04 9.232e-05 1.407e-05 2.722e-06 1.665e-06 
4.159e-03 5.434e-03 1.909e-01 1.881e-01 7.755e-04 5.377e-04 1.027e-05 1.059e-03 1.199e-06 9.626e-06 
8.590e-03 1.892e-03 3.296e-01 7.275e-02 7.225e-04 7.772e-04 9.426e-05 4.725e-06 2.509e-06 6.675e-07 
3.028e-03 5.369e-03 1.832e-01 1.976e-01 5.631e-04 7.110e-04 1.069e-05 1.867e-03 1.178e-06 1.283e-05 
8.529e-03 1.383e-03 3.420e-01 5.925e-02 0.000e+00 0.000e+00 1.210e-04 4.483e-06 0.000e+00 0.000e+00 
2.213e-03 5.330e-03 1.776e-01 2.013e-01 8.661e-04 7.067e-04 1.583e-05 2.586e-03 1.560e-06 1.760e-05 
8.612e-03 1.078e-03 3.561e-01 4.471e-02 0.000e+00 0.000e+00 1.250e-04 1.697e-06 0.000e+00 0.000e+00 
1.724e-03 5.383e-03 1.721e-01 2.014e-01 7.878e-04 9.785e-04 1.647e-05 3.170e-03 1.587e-06 3.433e-05 
8.681e-03 7.936e-04 3.641e-01 3.620e-02 6.276e-04 3.693e-04 1.447e-04 1.036e-06 2.966e-06 2.149e-07 
1.270e-03 5.426e-03 1.684e-01 2.039e-01 5.314e-04 5.285e-04 1.959e-05 3.771e-03 1.707e-06 2.158e-05 
8.577e-03 5.198e-04 3.809e-01 2.449e-02 4.985e-04 5.956e-04 1.408e-04 7.281e-07 4.318e-06 2.885e-07 
8.317e-04 5.360e-03 1.675e-01 2.034e-01 6.151e-04 6.597e-04 2.096e-05 4.224e-03 1.616e-06 1.661e-05 
8.604e-03 2.902e-04 3.860e-01 1.357e-02 0.000e+00 0.000e+00 1.531e-04 5.203e-07 0.000e+00 0.000e+00 
4.643e-04 5.378e-03 1.672e-01 2.063e-01 5.117e-04 6.224e-04 3.029e-05 4.744e-03 2.470e-06 1.409e-05 
8.734e-03 1.069e-04 3.927e-01 5.937e-03 1.774e-03 1.838e-04 1.479e-04 2.815e-08 3.981e-06 2.815e-08 
1.710e-04 5.458e-03 3.080e-02 4.566e-02 5.179e-04 7.067e-04 1.116e-04 5.050e-03 4.197e-06 1.897e-05 
8.502e-03 5.368e-05 3.929e-01 2.892e-03 7.613e-04 8.981e-05 1.726e-04 0.000e+00 4.954e-06 0.000e+00 
8.588e-05 5.314e-03 2.246e-02 3.554e-02 4.509e-04 3.067e-04 5.951e-05 4.925e-03 2.047e-06 1.621e-05 
4.921e-03 8.005e-02 1.746e-02 5.125e-02 2.400e-04 4.991e-04 3.284e-03 7.403e-02 2.415e-05 9.234e-05 
1.281e-01 3.076e-03 3.778e-01 9.708e-03 0.000e+00 0.000e+00 1.478e-03 2.701e-05 0.000e+00 0.000e+00 
5.054e-03 5.854e-02 6.922e-02 1.544e-01 5.444e-04 1.041e-03 1.929e-03 5.096e-02 3.003e-05 1.156e-04 
9.366e-02 3.159e-03 3.816e-01 1.346e-02 0.000e+00 0.000e+00 1.361e-04 3.393e-07 0.000e+00 0.000e+00 
5.016e-03 3.233e-02 1.171e-01 2.007e-01 7.129e-04 6.925e-04 2.685e-04 2.323e-02 4.057e-06 4.394e-05 
5.172e-02 3.135e-03 3.789e-01 2.409e-02 9.152e-04 2.526e-04 1.667e-04 7.861e-07 2.620e-06 1.917e-07 
4.954e-03 2.117e-02 1.367e-01 2.062e-01 7.306e-04 5.950e-04 8.770e-05 1.297e-02 2.608e-06 2.604e-05 
3.387e-02 3.096e-03 3.683e-01 3.488e-02 1.159e-03 3.261e-04 1.444e-04 9.272e-07 3.084e-06 2.686e-07 
4.879e-03 1.523e-02 1.497e-01 2.062e-01 6.671e-04 6.878e-04 3.949e-05 7.914e-03 1.825e-06 3.174e-05 
2.437e-02 3.049e-03 3.565e-01 4.655e-02 1.576e-03 2.355e-04 1.332e-04 2.142e-06 4.556e-06 3.567e-07 
5.015e-03 1.208e-02 1.633e-01 2.075e-01 5.202e-04 5.179e-04 2.252e-05 5.072e-03 2.193e-06 1.851e-05 
1.933e-02 3.134e-03 3.427e-01 5.855e-02 6.744e-04 4.397e-04 1.306e-04 4.863e-06 4.591e-06 6.742e-07 
4.856e-03 8.611e-03 1.775e-01 2.022e-01 4.474e-04 7.323e-04 1.369e-05 2.670e-03 1.446e-06 1.624e-05 
1.378e-02 3.035e-03 3.291e-01 7.452e-02 7.157e-04 4.745e-04 1.042e-04 6.881e-06 3.483e-06 9.702e-07 
4.820e-03 6.296e-03 1.861e-01 1.885e-01 0.000e+00 0.000e+00 8.250e-06 1.200e-03 0.000e+00 0.000e+00 
1.007e-02 3.012e-03 3.088e-01 9.287e-02 5.366e-04 5.758e-04 8.711e-05 1.314e-05 3.514e-06 1.497e-06 
4.963e-03 5.448e-03 2.036e-01 1.842e-01 8.216e-04 5.348e-04 1.120e-05 7.013e-04 8.435e-07 9.075e-06 
8.716e-03 3.102e-03 2.968e-01 1.063e-01 1.240e-03 6.671e-04 7.969e-05 2.175e-05 3.396e-06 1.518e-06 
4.832e-03 3.825e-03 2.275e-01 1.657e-01 7.839e-04 4.513e-04 1.946e-05 2.167e-04 4.314e-06 9.843e-06 
6.120e-03 3.020e-03 2.677e-01 1.297e-01 8.163e-04 5.935e-04 5.162e-05 4.236e-05 1.482e-06 1.897e-06 
4.976e-03 3.110e-03 2.501e-01 1.492e-01 9.167e-04 1.034e-03 2.944e-05 9.313e-05 2.613e-06 2.769e-06 
