#C1_0     C2_0      C1_den    C2_den    dC1_den   dC2_den   C1_sol    C2_sol    dC1_sol   dC2_sol   
1.281e-01 2.460e-03 4.127e-02 1.225e-02 2.541e-04 2.129e-04 1.225e-01 2.048e-03 9.517e-05 1.296e-05 
5.054e-03 4.683e-02 6.836e-02 1.356e-01 6.714e-04 1.111e-03 2.403e-03 4.104e-02 1.906e-05 8.090e-05 
9.366e-02 2.527e-03 4.342e-02 1.262e-02 3.767e-04 1.390e-04 8.872e-02 2.029e-03 7.069e-05 1.381e-05 
5.016e-03 2.586e-02 1.137e-01 1.822e-01 4.530e-04 6.740e-04 3.697e-04 1.770e-02 4.861e-06 3.537e-05 
5.172e-02 2.508e-03 4.715e-02 1.397e-02 2.590e-04 2.235e-04 4.779e-02 1.948e-03 9.594e-05 1.214e-05 
4.954e-03 1.693e-02 1.307e-01 1.903e-01 4.272e-04 5.593e-04 9.966e-05 9.185e-03 3.083e-06 2.956e-05 
3.387e-02 2.477e-03 7.500e-02 2.608e-02 1.445e-03 5.503e-04 3.072e-02 1.816e-03 4.474e-05 1.785e-05 
4.879e-03 1.218e-02 1.417e-01 1.935e-01 7.996e-04 4.107e-04 3.849e-05 5.124e-03 2.720e-06 2.182e-05 
2.437e-02 2.439e-03 2.021e-01 9.383e-02 6.328e-04 3.315e-04 1.977e-02 6.520e-04 5.628e-05 7.031e-06 
5.015e-03 9.665e-03 1.527e-01 1.953e-01 3.510e-04 6.901e-04 2.037e-05 2.852e-03 1.683e-06 1.690e-05 
1.933e-02 2.508e-03 2.090e-01 1.051e-01 4.641e-04 2.791e-04 1.429e-02 3.810e-04 4.406e-05 7.313e-06 
4.856e-03 6.889e-03 1.628e-01 1.904e-01 6.729e-04 5.281e-04 5.255e-06 1.003e-03 7.856e-07 9.967e-06 
1.378e-02 2.428e-03 2.143e-01 1.163e-01 4.990e-04 3.774e-04 9.034e-03 1.936e-04 3.020e-05 3.626e-06 
4.820e-03 5.037e-03 1.788e-01 1.817e-01 6.091e-04 6.099e-04 4.511e-06 1.314e-04 7.498e-07 2.731e-06 
1.007e-02 2.410e-03 2.147e-01 1.242e-01 7.093e-04 5.354e-04 5.537e-03 1.096e-04 1.957e-05 4.172e-06 
4.963e-03 4.358e-03 1.898e-01 1.701e-01 5.713e-04 4.115e-04 1.665e-05 1.899e-05 1.604e-06 1.061e-06 
8.716e-03 2.481e-03 2.156e-01 1.267e-01 0.000e+00 0.000e+00 4.169e-03 8.475e-05 0.000e+00 0.000e+00 
4.832e-03 3.060e-03 2.008e-01 1.472e-01 8.377e-04 6.041e-04 3.891e-04 1.248e-05 6.331e-06 1.145e-06 
6.120e-03 2.416e-03 2.115e-01 1.352e-01 4.107e-04 6.235e-04 1.993e-03 4.190e-05 7.681e-06 2.490e-06 
4.976e-03 2.488e-03 2.068e-01 1.410e-01 7.673e-04 6.916e-04 1.029e-03 2.463e-05 8.878e-06 2.723e-06 
4.976e-03 2.488e-03 2.068e-01 1.410e-01 7.673e-04 6.916e-04 1.029e-03 2.463e-05 8.878e-06 2.723e-06 
4.799e-03 1.895e-03 2.082e-01 1.364e-01 8.902e-04 6.989e-04 1.665e-03 3.203e-05 1.218e-05 1.659e-06 
3.789e-03 2.400e-03 2.002e-01 1.485e-01 6.244e-04 7.128e-04 3.502e-04 1.473e-05 4.647e-06 1.045e-06 
4.838e-03 1.377e-03 2.131e-01 1.346e-01 4.469e-04 6.125e-04 2.460e-03 5.390e-05 1.942e-05 4.857e-06 
2.755e-03 2.419e-03 1.915e-01 1.711e-01 6.265e-04 6.228e-04 1.602e-05 2.182e-05 1.435e-06 4.388e-06 
4.879e-03 1.167e-03 2.111e-01 1.305e-01 4.557e-04 6.195e-04 2.898e-03 5.674e-05 1.258e-05 2.317e-06 
2.334e-03 2.440e-03 1.786e-01 1.777e-01 5.920e-04 3.351e-04 8.460e-06 9.608e-05 1.293e-06 3.164e-06 
4.826e-03 8.505e-04 2.162e-01 1.327e-01 4.869e-04 4.380e-04 3.330e-03 6.298e-05 1.536e-05 2.298e-06 
1.701e-03 2.413e-03 1.683e-01 1.864e-01 6.348e-04 6.523e-04 5.172e-06 4.811e-04 4.764e-07 1.000e-05 
4.857e-03 6.300e-04 2.129e-01 1.304e-01 1.077e-03 6.587e-04 3.816e-03 6.994e-05 3.375e-05 2.859e-06 
1.260e-03 2.428e-03 1.629e-01 1.882e-01 6.684e-04 5.198e-04 4.606e-06 8.974e-04 7.591e-07 8.933e-06 
4.859e-03 4.864e-04 2.176e-01 1.322e-01 4.670e-04 4.866e-04 4.094e-03 9.361e-05 1.806e-05 3.578e-06 
9.727e-04 2.430e-03 1.602e-01 1.901e-01 5.345e-04 4.114e-04 5.769e-06 1.219e-03 9.650e-07 1.119e-05 
4.854e-03 3.550e-04 2.163e-01 1.304e-01 5.570e-04 5.428e-04 4.370e-03 1.138e-04 1.720e-05 4.342e-06 
7.100e-04 2.427e-03 1.588e-01 1.909e-01 5.036e-04 4.790e-04 1.080e-05 1.524e-03 1.072e-06 1.135e-05 
4.843e-03 2.348e-04 2.134e-01 1.295e-01 9.185e-04 6.331e-04 4.584e-03 1.269e-04 3.103e-05 4.242e-06 
4.696e-04 2.421e-03 1.573e-01 1.908e-01 4.526e-04 4.527e-04 1.139e-05 1.799e-03 6.726e-07 1.389e-05 
4.816e-03 1.299e-04 3.403e-02 1.463e-02 3.660e-04 1.217e-04 4.433e-03 1.020e-04 1.908e-05 5.478e-06 
2.599e-04 2.408e-03 1.540e-01 1.900e-01 5.354e-04 6.634e-04 2.264e-05 2.055e-03 8.990e-07 1.108e-05 
4.831e-03 4.729e-05 3.097e-02 1.235e-02 3.357e-04 2.014e-04 4.522e-03 3.512e-05 2.762e-05 2.763e-06 
9.457e-05 2.416e-03 2.807e-02 3.827e-02 2.364e-04 2.473e-04 6.153e-05 2.249e-03 2.131e-06 1.417e-05 
4.804e-03 2.426e-05 3.019e-02 1.135e-02 2.825e-04 2.421e-04 4.501e-03 1.934e-05 1.916e-05 1.084e-06 
4.853e-05 2.402e-03 2.429e-02 3.391e-02 1.553e-04 2.348e-04 3.457e-05 2.259e-03 1.408e-06 2.547e-05 
2.785e-03 3.624e-02 2.346e-02 5.123e-02 0.000e+00 0.000e+00 1.671e-03 3.278e-02 0.000e+00 0.000e+00 
7.248e-02 1.392e-03 3.983e-02 1.224e-02 4.749e-04 1.293e-04 6.851e-02 1.136e-03 8.312e-05 9.470e-06 
2.809e-03 2.603e-02 1.016e-01 1.708e-01 4.231e-04 6.074e-04 6.559e-04 2.180e-02 9.132e-06 5.166e-05 
5.206e-02 1.405e-03 4.119e-02 1.253e-02 4.213e-04 1.581e-04 4.864e-02 1.102e-03 7.834e-05 8.301e-06 
2.807e-03 1.447e-02 1.300e-01 1.906e-01 8.686e-04 5.130e-04 1.353e-04 1.016e-02 5.896e-06 3.455e-05 
2.895e-02 1.403e-03 4.511e-02 1.501e-02 3.401e-04 1.998e-04 2.644e-02 1.068e-03 7.018e-05 2.844e-05 
2.811e-03 9.609e-03 1.404e-01 1.921e-01 3.627e-04 3.236e-04 3.454e-05 5.485e-03 2.152e-06 2.509e-05 
1.922e-02 1.405e-03 2.044e-01 9.966e-02 6.320e-04 3.410e-04 1.709e-02 5.855e-04 4.423e-05 1.118e-05 
2.712e-03 6.773e-03 1.511e-01 1.933e-01 7.303e-04 5.917e-04 2.008e-05 3.085e-03 1.384e-06 1.819e-05 
1.355e-02 1.356e-03 2.125e-01 1.112e-01 3.904e-04 4.402e-04 1.104e-02 2.926e-04 2.887e-05 2.912e-06 
2.760e-03 5.318e-03 1.577e-01 1.921e-01 4.027e-04 9.069e-04 7.333e-06 1.795e-03 8.121e-07 1.182e-05 
1.064e-02 1.380e-03 2.159e-01 1.185e-01 7.367e-04 4.420e-04 8.130e-03 1.772e-04 2.987e-05 3.739e-06 
2.746e-03 3.895e-03 1.658e-01 1.886e-01 4.378e-04 3.881e-04 6.007e-06 6.785e-04 7.973e-07 3.201e-05 
7.791e-03 1.373e-03 2.129e-01 1.241e-01 9.205e-04 4.559e-04 5.263e-03 1.050e-04 3.924e-05 9.494e-06 
2.730e-03 2.853e-03 1.777e-01 1.798e-01 0.000e+00 0.000e+00 5.449e-06 9.202e-05 0.000e+00 0.000e+00 
5.706e-03 1.365e-03 2.145e-01 1.316e-01 4.277e-04 4.876e-04 3.337e-03 6.928e-05 1.562e-05 2.954e-06 
2.755e-03 2.419e-03 1.915e-01 1.711e-01 6.265e-04 6.228e-04 1.602e-05 2.182e-05 1.435e-06 4.388e-06 
4.838e-03 1.377e-03 2.131e-01 1.346e-01 4.469e-04 6.125e-04 2.460e-03 5.390e-05 1.942e-05 4.857e-06 
2.743e-03 1.737e-03 2.001e-01 1.493e-01 5.555e-04 5.925e-04 3.080e-04 1.685e-05 6.178e-06 1.218e-06 
3.474e-03 1.371e-03 2.069e-01 1.383e-01 4.680e-04 4.864e-04 1.270e-03 3.510e-05 1.203e-05 2.023e-06 
2.782e-03 1.391e-03 2.053e-01 1.447e-01 7.419e-04 5.895e-04 6.808e-04 2.600e-05 9.745e-06 1.505e-06 
2.782e-03 1.391e-03 2.053e-01 1.447e-01 7.419e-04 5.895e-04 6.808e-04 2.600e-05 9.745e-06 1.505e-06 
2.712e-03 1.071e-03 2.073e-01 1.422e-01 8.172e-04 6.131e-04 1.006e-03 2.259e-05 3.165e-05 1.501e-06 
2.141e-03 1.356e-03 2.002e-01 1.516e-01 5.902e-04 5.144e-04 2.603e-04 1.319e-05 1.017e-05 1.182e-06 
2.713e-03 7.724e-04 2.108e-01 1.392e-01 4.530e-04 3.494e-04 1.474e-03 2.942e-05 7.971e-06 1.131e-06 
1.545e-03 1.357e-03 1.901e-01 1.705e-01 5.068e-04 4.231e-04 2.066e-05 2.362e-05 1.188e-06 1.538e-06 
2.722e-03 6.512e-04 2.117e-01 1.397e-01 5.324e-04 5.404e-04 1.704e-03 3.721e-05 1.795e-05 1.944e-06 
1.302e-03 1.361e-03 1.816e-01 1.786e-01 7.332e-04 6.146e-04 4.429e-06 7.991e-05 3.972e-07 2.654e-06 
2.703e-03 4.764e-04 2.126e-01 1.386e-01 6.553e-04 6.242e-04 1.897e-03 6.401e-05 2.327e-05 9.717e-06 
9.527e-04 1.352e-03 1.710e-01 1.847e-01 5.920e-04 6.343e-04 4.814e-06 2.996e-04 7.754e-07 9.233e-06 
2.715e-03 3.522e-04 2.178e-01 1.415e-01 6.437e-04 5.439e-04 2.215e-03 5.895e-05 2.333e-05 3.637e-06 
7.044e-04 1.358e-03 1.674e-01 1.879e-01 8.309e-04 4.479e-04 6.728e-06 5.720e-04 8.376e-07 9.986e-06 
2.704e-03 2.706e-04 2.174e-01 1.403e-01 5.024e-04 4.584e-04 2.349e-03 5.855e-05 1.982e-05 2.519e-06 
5.413e-04 1.352e-03 1.640e-01 1.862e-01 6.161e-04 6.715e-04 8.397e-06 7.073e-04 1.343e-06 6.925e-06 
2.724e-03 1.992e-04 2.179e-01 1.404e-01 8.325e-04 6.398e-04 2.449e-03 6.074e-05 1.615e-05 3.629e-06 
3.983e-04 1.362e-03 1.624e-01 1.866e-01 2.640e-04 5.612e-04 4.903e-06 8.842e-04 4.834e-07 5.990e-06 
2.705e-03 1.311e-04 2.040e-01 1.326e-01 1.483e-03 1.295e-03 2.525e-03 8.947e-05 1.539e-05 4.645e-06 
2.623e-04 1.352e-03 1.651e-01 1.924e-01 5.703e-04 9.000e-04 1.029e-05 1.076e-03 1.252e-06 9.301e-06 
2.711e-03 7.316e-05 3.285e-02 1.477e-02 2.094e-04 1.578e-04 2.424e-03 5.445e-05 2.516e-05 3.579e-06 
1.463e-04 1.356e-03 1.644e-01 1.926e-01 3.696e-04 5.782e-04 1.138e-05 1.196e-03 1.338e-06 1.199e-05 
2.734e-03 2.676e-05 2.972e-02 1.239e-02 3.413e-04 1.922e-04 2.515e-03 1.771e-05 1.984e-05 1.472e-06 
5.352e-05 1.367e-03 2.706e-02 3.473e-02 1.367e-04 2.708e-04 3.299e-05 1.282e-03 1.880e-06 8.357e-06 
2.693e-03 1.360e-05 2.881e-02 1.120e-02 2.956e-04 9.006e-05 2.513e-03 1.149e-05 2.377e-05 1.483e-06 
2.720e-05 1.346e-03 2.339e-02 3.092e-02 2.827e-04 2.342e-04 2.090e-05 1.220e-03 1.501e-06 1.595e-05 
1.525e-03 1.985e-02 1.080e-01 1.734e-01 9.884e-04 1.060e-03 5.133e-04 1.788e-02 1.043e-05 3.391e-05 
3.970e-02 7.627e-04 3.736e-02 1.209e-02 2.179e-04 1.661e-04 3.712e-02 5.980e-04 6.102e-05 9.399e-06 
1.581e-03 1.465e-02 1.251e-01 1.863e-01 3.144e-04 5.119e-04 2.186e-04 1.223e-02 6.471e-06 1.905e-05 
2.931e-02 7.907e-04 3.992e-02 1.316e-02 3.178e-04 1.257e-04 2.714e-02 6.214e-04 3.200e-05 5.276e-06 
1.573e-03 8.110e-03 1.409e-01 1.928e-01 0.000e+00 0.000e+00 4.395e-05 5.751e-03 0.000e+00 0.000e+00 
1.622e-02 7.864e-04 4.107e-02 1.479e-02 2.264e-04 1.958e-04 1.479e-02 6.032e-04 4.060e-05 8.778e-06 
1.574e-03 5.382e-03 1.498e-01 1.924e-01 4.130e-04 4.604e-04 1.455e-05 3.179e-03 1.120e-06 2.713e-05 
1.076e-02 7.872e-04 2.140e-01 1.156e-01 5.870e-04 3.701e-04 9.441e-03 2.452e-04 6.398e-05 4.363e-06 
1.541e-03 3.848e-03 1.568e-01 1.927e-01 7.014e-04 5.317e-04 1.115e-05 1.880e-03 8.292e-07 1.091e-05 
7.696e-03 7.703e-04 2.134e-01 1.216e-01 6.782e-04 3.966e-04 6.370e-03 1.460e-04 2.098e-05 3.204e-06 
1.564e-03 3.014e-03 1.620e-01 1.903e-01 4.226e-04 8.864e-04 6.972e-06 1.121e-03 1.184e-06 1.730e-05 
6.029e-03 7.821e-04 2.156e-01 1.275e-01 1.447e-03 5.628e-04 4.683e-03 9.587e-05 4.395e-05 9.320e-06 
1.544e-03 2.190e-03 1.710e-01 1.875e-01 4.789e-04 6.361e-04 7.416e-06 4.615e-04 8.415e-07 5.408e-06 
4.381e-03 7.720e-04 2.165e-01 1.346e-01 7.417e-04 7.408e-04 3.114e-03 6.400e-05 1.577e-05 2.088e-06 
1.525e-03 1.593e-03 1.787e-01 1.783e-01 5.246e-04 7.868e-04 5.920e-06 8.522e-05 1.222e-06 2.942e-06 
3.187e-03 7.623e-04 2.124e-01 1.375e-01 8.562e-04 4.842e-04 1.958e-03 5.330e-05 2.592e-05 8.621e-06 
1.545e-03 1.357e-03 1.901e-01 1.705e-01 5.068e-04 4.231e-04 2.066e-05 2.362e-05 1.188e-06 1.538e-06 
2.713e-03 7.724e-04 2.108e-01 1.392e-01 4.530e-04 3.494e-04 1.474e-03 2.942e-05 7.971e-06 1.131e-06 
