#C1_0     C2_0      C1_den    C2_den    dC1_den   dC2_den   C1_sol    C2_sol    dC1_sol   dC2_sol   
2.213e-03 2.132e-03 4.083e-01 5.461e-02 6.104e-04 3.988e-04 2.898e-05 1.762e-03 1.986e-06 1.021e-05
8.612e-03 4.310e-04 4.846e-01 8.237e-03 1.463e-03 1.446e-04 1.817e-05 2.526e-04 1.446e-06 6.634e-06
1.724e-03 2.153e-03 4.047e-01 5.791e-02 1.319e-03 2.939e-04 3.700e-05 1.809e-03 4.578e-06 1.183e-05
8.681e-03 3.174e-04 4.828e-01 6.213e-03 6.903e-04 1.363e-04 1.433e-05 1.842e-04 1.620e-06 7.948e-06
1.270e-03 2.170e-03 4.032e-01 5.968e-02 9.883e-04 3.693e-04 3.777e-05 1.907e-03 1.498e-06 1.071e-05
4.976e-03 1.244e-03 4.510e-01 2.949e-02 5.983e-04 2.491e-04 1.661e-05 8.645e-04 1.174e-06 9.706e-06
8.577e-03 2.079e-04 4.949e-01 4.541e-03 7.589e-04 7.148e-05 1.490e-05 1.256e-04 1.162e-06 4.244e-06
8.317e-04 2.144e-03 4.039e-01 5.872e-02 1.562e-03 2.544e-04 4.829e-05 1.980e-03 2.344e-06 1.325e-05
8.604e-03 1.161e-04 4.911e-01 2.390e-03 1.111e-03 6.475e-05 1.381e-05 6.769e-05 1.474e-06 3.544e-06
4.643e-04 2.151e-03 3.935e-01 5.530e-02 7.189e-04 2.599e-04 6.545e-05 2.078e-03 3.062e-06 2.479e-05
8.734e-03 4.274e-05 4.962e-01 8.019e-04 2.097e-03 4.644e-05 1.485e-05 2.551e-05 1.104e-06 1.401e-06
1.710e-04 2.183e-03 1.666e-04 2.416e-03 2.080e-05 5.949e-05 1.193e-04 2.014e-03 3.658e-06 9.519e-06
8.502e-03 2.147e-05 4.984e-01 4.372e-04 1.032e-03 4.965e-05 1.622e-05 1.214e-05 1.763e-06 1.224e-06
8.588e-05 2.126e-03 9.722e-05 2.338e-03 8.368e-06 8.517e-05 5.725e-05 1.951e-03 2.295e-06 1.342e-05
4.799e-03 9.473e-04 4.575e-01 2.277e-02 1.473e-03 2.799e-04 1.623e-05 6.474e-04 1.769e-06 6.443e-06
3.789e-03 1.200e-03 4.500e-01 3.047e-02 1.060e-03 2.671e-04 2.453e-05 8.880e-04 1.624e-06 9.366e-06
4.921e-03 3.202e-02 1.123e-01 1.472e-01 4.555e-04 9.893e-04 1.745e-03 2.585e-02 3.201e-05 6.073e-05
1.281e-01 1.230e-03 4.799e-01 3.497e-03 8.509e-04 7.334e-05 1.694e-05 1.200e-04 1.067e-06 2.362e-06
5.054e-03 2.341e-02 1.701e-01 1.589e-01 6.844e-04 4.706e-04 8.166e-04 1.752e-02 1.217e-05 3.334e-05
9.366e-02 1.263e-03 4.916e-01 4.510e-03 6.459e-04 1.137e-04 1.723e-05 1.600e-04 1.690e-06 3.424e-06
5.016e-03 1.293e-02 2.490e-01 1.415e-01 4.412e-04 5.917e-04 2.858e-04 9.062e-03 5.793e-06 2.370e-05
5.172e-02 1.254e-03 4.856e-01 7.835e-03 9.462e-04 9.260e-05 1.578e-05 2.424e-04 1.390e-06 4.943e-06
4.954e-03 8.467e-03 2.923e-01 1.196e-01 1.091e-03 7.226e-04 1.327e-04 5.712e-03 5.894e-06 2.708e-05
3.387e-02 1.238e-03 4.807e-01 1.055e-02 6.440e-04 1.711e-04 2.009e-05 3.360e-04 1.200e-06 5.457e-06
4.879e-03 6.092e-03 3.276e-01 9.955e-02 1.326e-03 4.932e-04 8.498e-05 4.109e-03 2.802e-06 2.031e-05
2.437e-02 1.220e-03 4.799e-01 1.364e-02 1.105e-03 1.029e-04 1.540e-05 4.009e-04 1.158e-06 4.944e-06
4.856e-03 3.444e-03 3.805e-01 6.948e-02 1.988e-03 5.372e-04 3.351e-05 2.354e-03 1.477e-06 1.311e-05
1.378e-02 1.214e-03 4.634e-01 1.859e-02 9.450e-04 1.794e-04 1.818e-05 5.684e-04 1.865e-06 6.249e-06
4.820e-03 2.519e-03 4.104e-01 5.387e-02 1.069e-03 4.617e-04 2.918e-05 1.701e-03 1.436e-06 8.147e-06
1.007e-02 1.205e-03 4.618e-01 2.210e-02 7.731e-04 2.144e-04 1.717e-05 6.206e-04 1.068e-06 7.736e-06
4.963e-03 2.179e-03 4.156e-01 4.827e-02 6.189e-04 2.777e-04 2.287e-05 1.475e-03 1.478e-06 1.516e-05
8.716e-03 1.241e-03 4.532e-01 2.422e-02 1.040e-03 2.333e-04 1.826e-05 6.984e-04 1.195e-06 5.753e-06
4.832e-03 1.530e-03 4.343e-01 3.659e-02 6.092e-04 3.771e-04 1.623e-05 1.060e-03 1.180e-06 2.286e-05
6.120e-03 1.208e-03 4.526e-01 2.646e-02 6.035e-04 4.266e-04 1.470e-05 7.521e-04 1.339e-06 8.580e-06
